time,Open,High,Low,Close,Volume,spread
2025-11-04 23:00:00+00:00,1.14788,1.14811,1.14782,1.14788,523,19
2025-11-04 23:30:00+00:00,1.14787,1.14817,1.14787,1.14807,470,19
2025-11-05 00:00:00+00:00,1.14808,1.14825,1.14777,1.14801,479,28
2025-11-05 00:30:00+00:00,1.14801,1.1484,1.148,1.14821,418,35
2025-11-05 01:00:00+00:00,1.14822,1.14841,1.14814,1.14837,235,19
2025-11-05 01:30:00+00:00,1.14839,1.14849,1.1482700000000001,1.14843,305,19
2025-11-05 02:00:00+00:00,1.14842,1.14843,1.14797,1.14838,538,19
2025-11-05 02:30:00+00:00,1.14838,1.14844,1.14798,1.14829,1053,19
2025-11-05 03:00:00+00:00,1.14829,1.14887,1.14787,1.1486399999999999,1040,19
2025-11-05 03:30:00+00:00,1.14863,1.14971,1.14861,1.14884,1192,19
2025-11-05 04:00:00+00:00,1.14886,1.14912,1.14842,1.14882,856,19
2025-11-05 04:30:00+00:00,1.14881,1.14909,1.14857,1.14875,628,19
2025-11-05 05:00:00+00:00,1.14875,1.1491500000000001,1.14871,1.14876,541,19
2025-11-05 05:30:00+00:00,1.14876,1.1489,1.1485,1.14879,818,19
2025-11-05 06:00:00+00:00,1.14877,1.14895,1.14866,1.1489,332,19
2025-11-05 06:30:00+00:00,1.14889,1.14909,1.14883,1.14898,317,19
2025-11-05 07:00:00+00:00,1.14898,1.14927,1.14885,1.1492,361,19
2025-11-05 07:30:00+00:00,1.1492,1.14933,1.149,1.14909,430,19
2025-11-05 08:00:00+00:00,1.14908,1.14932,1.14899,1.14914,493,19
2025-11-05 08:30:00+00:00,1.14914,1.1491500000000001,1.14861,1.1487,572,19
2025-11-05 09:00:00+00:00,1.14869,1.1488,1.14824,1.14848,835,19
2025-11-05 09:30:00+00:00,1.14846,1.149,1.14838,1.14858,818,19
2025-11-05 10:00:00+00:00,1.1486,1.14944,1.14847,1.14916,1038,19
2025-11-05 10:30:00+00:00,1.1491500000000001,1.1494,1.14877,1.14878,1123,19
2025-11-05 11:00:00+00:00,1.14877,1.14917,1.14843,1.14876,1046,19
2025-11-05 11:30:00+00:00,1.14878,1.14886,1.14804,1.14835,784,19
2025-11-05 12:00:00+00:00,1.14836,1.14839,1.14751,1.14789,1042,19
2025-11-05 12:30:00+00:00,1.14788,1.14842,1.14785,1.14823,580,19
2025-11-05 13:00:00+00:00,1.14824,1.1488,1.14779,1.14871,872,19
2025-11-05 13:30:00+00:00,1.1487,1.14882,1.1485,1.14871,638,19
2025-11-05 14:00:00+00:00,1.14872,1.14916,1.14868,1.14876,885,19
2025-11-05 14:30:00+00:00,1.14875,1.14909,1.14861,1.149,894,19
2025-11-05 15:00:00+00:00,1.14898,1.1492499999999999,1.14814,1.14859,1537,19
2025-11-05 15:30:00+00:00,1.14855,1.14855,1.14719,1.14725,1898,19
2025-11-05 16:00:00+00:00,1.14726,1.14828,1.14677,1.14824,1453,19
2025-11-05 16:30:00+00:00,1.14825,1.14922,1.14811,1.14861,1650,19
2025-11-05 17:00:00+00:00,1.14862,1.14862,1.14691,1.14847,3812,19
2025-11-05 17:30:00+00:00,1.14846,1.14863,1.1474199999999999,1.14782,2126,19
2025-11-05 18:00:00+00:00,1.14784,1.14798,1.1469,1.14788,1938,19
2025-11-05 18:30:00+00:00,1.14785,1.1485,1.14745,1.14829,1437,19
2025-11-05 19:00:00+00:00,1.1482999999999999,1.14849,1.14789,1.14804,1191,19
2025-11-05 19:30:00+00:00,1.1480299999999999,1.14806,1.14755,1.14795,810,19
2025-11-05 20:00:00+00:00,1.14798,1.14828,1.14788,1.14808,724,19
2025-11-05 20:30:00+00:00,1.14806,1.14809,1.14778,1.14807,711,19
2025-11-05 21:00:00+00:00,1.14808,1.14829,1.14795,1.14828,512,19
2025-11-05 21:30:00+00:00,1.14829,1.14866,1.14823,1.1485,597,19
2025-11-05 22:00:00+00:00,1.14852,1.14908,1.14852,1.1488800000000001,649,19
2025-11-05 22:30:00+00:00,1.14887,1.149,1.14868,1.14875,422,19
2025-11-05 23:00:00+00:00,1.14874,1.1492499999999999,1.1486399999999999,1.14912,290,19
2025-11-05 23:30:00+00:00,1.14908,1.14931,1.14903,1.14909,400,19
2025-11-06 00:00:00+00:00,1.1491,1.14919,1.1487,1.14905,76,26
2025-11-06 00:30:00+00:00,1.14906,1.14918,1.14904,1.14907,221,27
2025-11-06 01:00:00+00:00,1.14908,1.14946,1.14898,1.14937,305,19
2025-11-06 01:30:00+00:00,1.14943,1.1496,1.14934,1.14948,161,19
2025-11-06 02:00:00+00:00,1.14948,1.14982,1.14923,1.14979,343,19
2025-11-06 02:30:00+00:00,1.14978,1.15009,1.14951,1.14998,769,19
2025-11-06 03:00:00+00:00,1.14999,1.15069,1.14999,1.15064,714,19
2025-11-06 03:30:00+00:00,1.15068,1.15079,1.15049,1.15063,455,19
2025-11-06 04:00:00+00:00,1.15062,1.15079,1.15053,1.15059,434,19
2025-11-06 04:30:00+00:00,1.1506,1.15063,1.15021,1.15043,618,19
2025-11-06 05:00:00+00:00,1.15042,1.1507,1.15024,1.15064,478,19
2025-11-06 05:30:00+00:00,1.15065,1.15067,1.15054,1.1506,232,19
2025-11-06 06:00:00+00:00,1.1506,1.15073,1.15039,1.15041,311,19
2025-11-06 06:30:00+00:00,1.15042,1.15061,1.1503,1.1506,222,19
2025-11-06 07:00:00+00:00,1.1506,1.15073,1.15027,1.15067,328,19
2025-11-06 07:30:00+00:00,1.15067,1.151,1.15053,1.15093,574,19
2025-11-06 08:00:00+00:00,1.15087,1.15128,1.15064,1.15096,783,19
2025-11-06 08:30:00+00:00,1.15097,1.15101,1.15044,1.1506,475,19
2025-11-06 09:00:00+00:00,1.15061,1.15124,1.15059,1.15113,696,19
