time,Open,High,Low,Close,Volume,spread
2025-11-04 23:00:00+00:00,1.14788,1.14817,1.14782,1.14807,993,19
2025-11-05 00:00:00+00:00,1.14808,1.1484,1.14777,1.14821,897,28
2025-11-05 01:00:00+00:00,1.14822,1.14849,1.14814,1.14843,540,19
2025-11-05 02:00:00+00:00,1.14842,1.14844,1.14797,1.14829,1591,19
2025-11-05 03:00:00+00:00,1.14829,1.14971,1.14787,1.14884,2232,19
2025-11-05 04:00:00+00:00,1.14886,1.14912,1.14842,1.14875,1484,19
2025-11-05 05:00:00+00:00,1.14875,1.1491500000000001,1.1485,1.14879,1359,19
2025-11-05 06:00:00+00:00,1.14877,1.14909,1.14866,1.14898,649,19
2025-11-05 07:00:00+00:00,1.14898,1.14933,1.14885,1.14909,791,19
2025-11-05 08:00:00+00:00,1.14908,1.14932,1.14861,1.1487,1065,19
2025-11-05 09:00:00+00:00,1.14869,1.149,1.14824,1.14858,1653,19
2025-11-05 10:00:00+00:00,1.1486,1.14944,1.14847,1.14878,2161,19
2025-11-05 11:00:00+00:00,1.14877,1.14917,1.14804,1.14835,1830,19
2025-11-05 12:00:00+00:00,1.14836,1.14842,1.14751,1.14823,1622,19
2025-11-05 13:00:00+00:00,1.14824,1.14882,1.14779,1.14871,1510,19
2025-11-05 14:00:00+00:00,1.14872,1.14916,1.14861,1.149,1779,19
2025-11-05 15:00:00+00:00,1.14898,1.1492499999999999,1.14719,1.14725,3435,19
2025-11-05 16:00:00+00:00,1.14726,1.14922,1.14677,1.14861,3103,19
2025-11-05 17:00:00+00:00,1.14862,1.14863,1.14691,1.14782,5938,19
2025-11-05 18:00:00+00:00,1.14784,1.1485,1.1469,1.14829,3375,19
2025-11-05 19:00:00+00:00,1.1482999999999999,1.14849,1.14755,1.14795,2001,19
2025-11-05 20:00:00+00:00,1.14798,1.14828,1.14778,1.14807,1435,19
2025-11-05 21:00:00+00:00,1.14808,1.14866,1.14795,1.1485,1109,19
2025-11-05 22:00:00+00:00,1.14852,1.14908,1.14852,1.14875,1071,19
2025-11-05 23:00:00+00:00,1.14874,1.14931,1.1486399999999999,1.14909,690,19
2025-11-06 00:00:00+00:00,1.1491,1.14919,1.1487,1.14907,297,26
2025-11-06 01:00:00+00:00,1.14908,1.1496,1.14898,1.14948,466,19
2025-11-06 02:00:00+00:00,1.14948,1.15009,1.14923,1.14998,1112,19
2025-11-06 03:00:00+00:00,1.14999,1.15079,1.14999,1.15063,1169,19
2025-11-06 04:00:00+00:00,1.15062,1.15079,1.15021,1.15043,1052,19
2025-11-06 05:00:00+00:00,1.15042,1.1507,1.15024,1.1506,710,19
2025-11-06 06:00:00+00:00,1.1506,1.15073,1.1503,1.1506,533,19
2025-11-06 07:00:00+00:00,1.1506,1.151,1.15027,1.15093,902,19
2025-11-06 08:00:00+00:00,1.15087,1.15128,1.15044,1.1506,1258,19
2025-11-06 09:00:00+00:00,1.15061,1.15124,1.15059,1.15073,1582,19
2025-11-06 10:00:00+00:00,1.15073,1.15225,1.15049,1.15201,2830,19
2025-11-06 11:00:00+00:00,1.15202,1.1522999999999999,1.15102,1.15126,2206,19
2025-11-06 12:00:00+00:00,1.15125,1.15165,1.15092,1.15094,1598,19
2025-11-06 13:00:00+00:00,1.15094,1.15201,1.15092,1.15194,1489,19
2025-11-06 14:00:00+00:00,1.15192,1.15318,1.1513200000000001,1.15298,3174,19
2025-11-06 15:00:00+00:00,1.15298,1.15431,1.1528100000000001,1.15347,3391,19
2025-11-06 16:00:00+00:00,1.15348,1.15365,1.15191,1.15195,3354,19
2025-11-06 17:00:00+00:00,1.15194,1.15418,1.15181,1.1538599999999999,4516,19
2025-11-06 18:00:00+00:00,1.15385,1.15408,1.15306,1.15369,3525,19
2025-11-06 19:00:00+00:00,1.15368,1.15418,1.1529,1.15398,2950,19
2025-11-06 20:00:00+00:00,1.15399,1.15492,1.15384,1.15462,2080,19
2025-11-06 21:00:00+00:00,1.15461,1.15514,1.15409,1.15434,1569,19
2025-11-06 22:00:00+00:00,1.15434,1.15481,1.15419,1.15466,1501,19
2025-11-06 23:00:00+00:00,1.15467,1.1548,1.1543700000000001,1.15457,961,19
2025-11-07 00:00:00+00:00,1.15458,1.15458,1.15356,1.15411,2717,26
2025-11-07 01:00:00+00:00,1.1541,1.15505,1.15402,1.15476,621,19
2025-11-07 02:00:00+00:00,1.15476,1.1548,1.15368,1.15385,1360,19
2025-11-07 03:00:00+00:00,1.15385,1.1540300000000001,1.15353,1.15371,1790,19
2025-11-07 04:00:00+00:00,1.15372,1.1542,1.15371,1.1539,894,19
2025-11-07 05:00:00+00:00,1.15391,1.15402,1.15339,1.1537,744,19
2025-11-07 06:00:00+00:00,1.15371,1.15371,1.15314,1.15356,774,19
2025-11-07 07:00:00+00:00,1.15353,1.15375,1.15316,1.15331,740,19
2025-11-07 08:00:00+00:00,1.15334,1.15348,1.15287,1.15299,1250,19
2025-11-07 09:00:00+00:00,1.15298,1.15354,1.15298,1.15318,1413,19
2025-11-07 10:00:00+00:00,1.15316,1.1539,1.15286,1.15339,2069,19
2025-11-07 11:00:00+00:00,1.15337,1.1541299999999999,1.15335,1.15372,1536,19
2025-11-07 12:00:00+00:00,1.15371,1.15509,1.15364,1.15491,1595,19
2025-11-07 13:00:00+00:00,1.1549,1.15601,1.15484,1.15571,1941,19
2025-11-07 14:00:00+00:00,1.1557,1.15642,1.1553,1.1555,2389,19
2025-11-07 15:00:00+00:00,1.15551,1.15687,1.15548,1.15666,3251,19
2025-11-07 16:00:00+00:00,1.15665,1.15778,1.15645,1.15724,3482,19
2025-11-07 17:00:00+00:00,1.15719,1.15901,1.15703,1.15707,4703,19
2025-11-07 18:00:00+00:00,1.15708,1.1581299999999999,1.15704,1.15768,2460,19
2025-11-07 19:00:00+00:00,1.15767,1.15811,1.15705,1.15795,2003,19
2025-11-07 20:00:00+00:00,1.15798,1.15826,1.15665,1.15673,1568,19
2025-11-07 21:00:00+00:00,1.15672,1.1571799999999999,1.15545,1.15586,1912,19
2025-11-07 22:00:00+00:00,1.15583,1.15658,1.15565,1.15634,1792,19
2025-11-07 23:00:00+00:00,1.15635,1.15658,1.15578,1.15632,968,19
2025-11-10 00:00:00+00:00,1.15539,1.1556899999999999,1.15525,1.15543,338,23
2025-11-10 01:00:00+00:00,1.15554,1.15567,1.15401,1.15424,2254,19
2025-11-10 02:00:00+00:00,1.15424,1.15587,1.1542,1.15534,2388,19
2025-11-10 03:00:00+00:00,1.1553499999999999,1.15594,1.15455,1.15571,1901,19
2025-11-10 04:00:00+00:00,1.1557,1.15598,1.15539,1.1557,956,19
2025-11-10 05:00:00+00:00,1.1557,1.15577,1.15502,1.15536,986,19
2025-11-10 06:00:00+00:00,1.15537,1.15616,1.15537,1.156,920,19
2025-11-10 07:00:00+00:00,1.15601,1.15656,1.15568,1.1561,1141,19
2025-11-10 08:00:00+00:00,1.15609,1.15638,1.15505,1.15529,1476,19
2025-11-10 09:00:00+00:00,1.15529,1.15711,1.15526,1.15667,2064,19
2025-11-10 10:00:00+00:00,1.15667,1.15821,1.15642,1.15713,2379,19
2025-11-10 11:00:00+00:00,1.15714,1.15728,1.15632,1.15673,1880,19
2025-11-10 12:00:00+00:00,1.15672,1.15705,1.15602,1.15613,1732,19
2025-11-10 13:00:00+00:00,1.15621,1.15632,1.15531,1.15622,1442,19
2025-11-10 14:00:00+00:00,1.15622,1.15746,1.15618,1.15671,1951,19
2025-11-10 15:00:00+00:00,1.15672,1.15769,1.1566,1.1567,2373,19
2025-11-10 16:00:00+00:00,1.1567,1.15675,1.15584,1.15636,2804,19
2025-11-10 17:00:00+00:00,1.15638,1.1566,1.15442,1.15444,3196,19
2025-11-10 18:00:00+00:00,1.15443,1.1554,1.1542,1.1544,2490,19
2025-11-10 19:00:00+00:00,1.15441,1.15603,1.1540300000000001,1.1559599999999999,2025,19
2025-11-10 20:00:00+00:00,1.15597,1.15638,1.1557,1.15575,1256,19
2025-11-10 21:00:00+00:00,1.15574,1.15621,1.1557,1.156,1359,19
2025-11-10 22:00:00+00:00,1.15598,1.15637,1.15597,1.1562999999999999,1011,19
2025-11-10 23:00:00+00:00,1.15629,1.1562999999999999,1.15542,1.1556,694,19
2025-11-11 00:00:00+00:00,1.15537,1.15576,1.15486,1.15556,809,28
2025-11-11 01:00:00+00:00,1.15557,1.1559300000000001,1.15551,1.15557,578,19
2025-11-11 02:00:00+00:00,1.1555900000000001,1.15585,1.1551,1.15513,1128,19
2025-11-11 03:00:00+00:00,1.15513,1.1554,1.15461,1.15538,1403,19
2025-11-11 04:00:00+00:00,1.15538,1.1556,1.15509,1.15524,873,19
2025-11-11 05:00:00+00:00,1.15523,1.15572,1.15523,1.15554,811,19
2025-11-11 06:00:00+00:00,1.15553,1.15584,1.15544,1.1556899999999999,662,19
2025-11-11 07:00:00+00:00,1.1557,1.15642,1.1556899999999999,1.15606,893,19
2025-11-11 08:00:00+00:00,1.15605,1.15619,1.15495,1.15512,1213,19
2025-11-11 09:00:00+00:00,1.15513,1.15598,1.15486,1.1559,2440,19
2025-11-11 10:00:00+00:00,1.15592,1.15675,1.1553499999999999,1.15536,2266,19
2025-11-11 11:00:00+00:00,1.1553499999999999,1.15674,1.15525,1.15639,1901,19
2025-11-11 12:00:00+00:00,1.15639,1.15738,1.15616,1.15721,1504,19
2025-11-11 13:00:00+00:00,1.15722,1.15769,1.1569099999999999,1.1571,1553,19
2025-11-11 14:00:00+00:00,1.15709,1.15762,1.15676,1.15695,1678,19
2025-11-11 15:00:00+00:00,1.15696,1.16049,1.15695,1.15999,4872,19
2025-11-11 16:00:00+00:00,1.16001,1.1604,1.15924,1.15997,2962,19
2025-11-11 17:00:00+00:00,1.1599599999999999,1.16022,1.15904,1.15939,3419,19
2025-11-11 18:00:00+00:00,1.15939,1.15988,1.15897,1.15923,2343,19
2025-11-11 19:00:00+00:00,1.15922,1.15982,1.1589800000000001,1.1594,1356,19
2025-11-11 20:00:00+00:00,1.15939,1.15946,1.15904,1.15916,1110,19
2025-11-11 21:00:00+00:00,1.15915,1.15919,1.15824,1.15834,1186,19
2025-11-11 22:00:00+00:00,1.15835,1.1588,1.15823,1.15824,886,19
2025-11-11 23:00:00+00:00,1.15823,1.15845,1.158,1.1581,743,19
2025-11-12 00:00:00+00:00,1.15809,1.15845,1.15802,1.15843,1221,22
2025-11-12 01:00:00+00:00,1.15843,1.15862,1.15811,1.15858,499,19
2025-11-12 02:00:00+00:00,1.15858,1.15858,1.15782,1.15783,917,19
2025-11-12 03:00:00+00:00,1.15784,1.15812,1.15736,1.15744,1188,19
2025-11-12 04:00:00+00:00,1.15744,1.15788,1.15743,1.15779,632,19
2025-11-12 05:00:00+00:00,1.1578,1.15805,1.15746,1.15766,679,19
2025-11-12 06:00:00+00:00,1.15765,1.15775,1.1569099999999999,1.15711,813,19
2025-11-12 07:00:00+00:00,1.1571,1.15778,1.15702,1.15753,1229,19
2025-11-12 08:00:00+00:00,1.1575199999999999,1.1581299999999999,1.15743,1.15811,1079,19
2025-11-12 09:00:00+00:00,1.15811,1.1587399999999999,1.1580300000000001,1.15828,1690,19
2025-11-12 10:00:00+00:00,1.15829,1.15868,1.15761,1.15763,2140,19
